Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,-293.000000,489.000000,832.000000,26.000000,-9.000000,-9.000000,-124.000000,41.000000,431.000000
0.050000,-296.000000,490.000000,829.000000,27.000000,-13.000000,-9.000000,-122.000000,47.000000,427.000000
0.100000,-307.000000,490.000000,838.000000,32.000000,-17.000000,0.000000,-127.000000,41.000000,427.000000
0.150000,-315.000000,485.000000,828.000000,33.000000,-33.000000,0.000000,-118.000000,44.000000,430.000000
0.200000,-314.000000,480.000000,828.000000,32.000000,-49.000000,-5.000000,-131.000000,42.000000,428.000000
0.250000,-307.000000,493.000000,834.000000,42.000000,-93.000000,-3.000000,-127.000000,39.000000,434.000000
0.300000,-302.000000,528.000000,851.000000,51.000000,-141.000000,10.000000,-130.000000,35.000000,431.000000
0.350000,-283.000000,540.000000,864.000000,-1.000000,-146.000000,37.000000,-131.000000,44.000000,431.000000
0.400000,-269.000000,523.000000,872.000000,-54.000000,-211.000000,104.000000,-119.000000,14.000000,427.000000
0.450000,-240.000000,590.000000,886.000000,0.000000,-509.000000,226.000000,-115.000000,8.000000,433.000000
0.500000,-138.000000,587.000000,948.000000,-3.000000,-913.000000,387.000000,-113.000000,-11.000000,436.000000
0.550000,40.000000,499.000000,890.000000,241.000000,-1420.000000,665.000000,-107.000000,-56.000000,452.000000
0.600000,366.000000,522.000000,823.000000,391.000000,-2369.000000,1222.000000,-92.000000,-125.000000,482.000000
0.650000,1069.000000,1105.000000,861.000000,930.000000,-3865.000000,1638.000000,-64.000000,-218.000000,577.000000
0.700000,1944.000000,1397.000000,761.000000,671.000000,-3686.000000,2457.000000,-11.000000,-295.000000,704.000000
0.750000,1995.000000,802.000000,1182.000000,1093.000000,-4208.000000,1471.000000,67.000000,-310.000000,835.000000
0.800000,1995.000000,878.000000,443.000000,1960.000000,-4736.000000,1990.000000,145.000000,-251.000000,998.000000
0.850000,1878.000000,683.000000,56.000000,2268.000000,-4511.000000,2020.000000,250.000000,-113.000000,1090.000000
0.900000,582.000000,410.000000,45.000000,2186.000000,-3395.000000,1502.000000,333.000000,38.000000,1097.000000
0.950000,-464.000000,-206.000000,-216.000000,1563.000000,-2011.000000,1639.000000,378.000000,140.000000,1052.000000
1.000000,-643.000000,-630.000000,-74.000000,1096.000000,-996.000000,838.000000,387.000000,206.000000,1019.000000
1.050000,-558.000000,-503.000000,2.000000,816.000000,-627.000000,429.000000,399.000000,227.000000,979.000000
1.100000,-388.000000,-407.000000,-64.000000,476.000000,-527.000000,356.000000,402.000000,246.000000,946.000000
1.150000,-312.000000,-540.000000,-61.000000,214.000000,-503.000000,153.000000,399.000000,260.000000,940.000000
1.200000,-174.000000,-502.000000,-336.000000,9.000000,-222.000000,32.000000,396.000000,263.000000,932.000000
1.250000,-99.000000,-473.000000,-408.000000,-7.000000,-65.000000,-103.000000,399.000000,269.000000,934.000000
1.300000,-97.000000,-500.000000,-451.000000,7.000000,128.000000,-179.000000,408.000000,249.000000,937.000000
1.350000,-239.000000,-553.000000,-559.000000,-16.000000,98.000000,-49.000000,410.000000,248.000000,940.000000
1.400000,-205.000000,-614.000000,-705.000000,-89.000000,102.000000,23.000000,395.000000,255.000000,935.000000
1.450000,-177.000000,-734.000000,-762.000000,-39.000000,91.000000,21.000000,407.000000,242.000000,944.000000
1.500000,3.000000,-753.000000,-693.000000,-8.000000,64.000000,17.000000,404.000000,249.000000,950.000000
1.550000,-69.000000,-674.000000,-665.000000,65.000000,142.000000,-95.000000,393.000000,245.000000,952.000000
1.600000,-59.000000,-643.000000,-689.000000,51.000000,49.000000,32.000000,401.000000,240.000000,944.000000
1.650000,5.000000,-751.000000,-643.000000,60.000000,-15.000000,86.000000,399.000000,249.000000,944.000000
1.700000,-55.000000,-741.000000,-688.000000,65.000000,-14.000000,39.000000,402.000000,248.000000,944.000000
1.750000,-105.000000,-758.000000,-705.000000,58.000000,-74.000000,9.000000,402.000000,249.000000,943.000000
1.800000,-82.000000,-746.000000,-657.000000,73.000000,-88.000000,-21.000000,402.000000,243.000000,937.000000
1.850000,-138.000000,-707.000000,-670.000000,72.000000,-56.000000,-65.000000,395.000000,245.000000,932.000000
1.900000,-106.000000,-731.000000,-650.000000,52.000000,-61.000000,-59.000000,407.000000,246.000000,932.000000
1.950000,-62.000000,-727.000000,-627.000000,40.000000,-6.000000,-81.000000,407.000000,246.000000,934.000000
2.000000,-97.000000,-706.000000,-628.000000,54.000000,21.000000,-112.000000,407.000000,228.000000,935.000000
2.050000,-108.000000,-740.000000,-655.000000,33.000000,-16.000000,-45.000000,408.000000,236.000000,923.000000
2.100000,-53.000000,-758.000000,-666.000000,30.000000,-57.000000,-56.000000,411.000000,233.000000,938.000000
2.150000,-58.000000,-759.000000,-662.000000,30.000000,-27.000000,-20.000000,408.000000,227.000000,931.000000
2.200000,-81.000000,-742.000000,-662.000000,37.000000,-40.000000,-30.000000,419.000000,230.000000,926.000000
2.250000,-29.000000,-733.000000,-634.000000,32.000000,-21.000000,-50.000000,411.000000,228.000000,932.000000
2.300000,-64.000000,-747.000000,-645.000000,27.000000,3.000000,-6.000000,411.000000,233.000000,919.000000
2.350000,-72.000000,-740.000000,-643.000000,30.000000,2.000000,10.000000,413.000000,227.000000,922.000000
2.400000,-65.000000,-779.000000,-633.000000,42.000000,-3.000000,7.000000,408.000000,222.000000,931.000000
2.450000,-62.000000,-748.000000,-637.000000,30.000000,23.000000,13.000000,408.000000,237.000000,925.000000
2.500000,-43.000000,-765.000000,-624.000000,30.000000,-4.000000,-1.000000,419.000000,227.000000,922.000000
2.550000,-65.000000,-762.000000,-636.000000,25.000000,11.000000,7.000000,411.000000,231.000000,926.000000
2.600000,-58.000000,-757.000000,-644.000000,28.000000,-2.000000,-10.000000,410.000000,224.000000,932.000000
2.650000,-53.000000,-748.000000,-639.000000,14.000000,4.000000,-4.000000,411.000000,230.000000,922.000000
2.700000,-43.000000,-754.000000,-634.000000,11.000000,16.000000,0.000000,407.000000,227.000000,919.000000
2.750000,-39.000000,-752.000000,-644.000000,11.000000,-15.000000,-37.000000,419.000000,218.000000,926.000000
2.800000,-36.000000,-730.000000,-642.000000,22.000000,4.000000,-21.000000,413.000000,222.000000,922.000000
2.850000,-27.000000,-731.000000,-630.000000,14.000000,-23.000000,-19.000000,413.000000,228.000000,934.000000
2.900000,-23.000000,-713.000000,-627.000000,19.000000,-56.000000,-18.000000,405.000000,216.000000,934.000000
2.950000,-48.000000,-768.000000,-632.000000,17.000000,-68.000000,32.000000,414.000000,224.000000,919.000000
3.000000,-42.000000,-770.000000,-646.000000,39.000000,-81.000000,9.000000,408.000000,225.000000,929.000000
3.050000,-53.000000,-771.000000,-640.000000,40.000000,-56.000000,4.000000,410.000000,215.000000,923.000000
3.100000,-54.000000,-756.000000,-637.000000,21.000000,-55.000000,7.000000,416.000000,225.000000,925.000000
3.150000,-48.000000,-776.000000,-643.000000,16.000000,-16.000000,-41.000000,416.000000,230.000000,923.000000
3.200000,-64.000000,-753.000000,-642.000000,11.000000,10.000000,-30.000000,419.000000,221.000000,929.000000
3.250000,-50.000000,-748.000000,-636.000000,16.000000,2.000000,-49.000000,416.000000,221.000000,923.000000
3.300000,-25.000000,-759.000000,-652.000000,20.000000,-6.000000,-34.000000,410.000000,212.000000,916.000000
3.350000,-44.000000,-749.000000,-636.000000,16.000000,16.000000,2.000000,416.000000,218.000000,920.000000
3.400000,-50.000000,-756.000000,-645.000000,22.000000,-16.000000,-14.000000,416.000000,215.000000,922.000000
3.450000,-13.000000,-732.000000,-621.000000,31.000000,-2.000000,-21.000000,410.000000,216.000000,925.000000
3.500000,-27.000000,-755.000000,-632.000000,9.000000,-9.000000,-19.000000,420.000000,213.000000,926.000000
3.550000,-51.000000,-752.000000,-643.000000,4.000000,-7.000000,-2.000000,407.000000,212.000000,923.000000
3.600000,-28.000000,-773.000000,-643.000000,16.000000,-16.000000,-14.000000,413.000000,209.000000,923.000000
3.650000,-9.000000,-726.000000,-644.000000,19.000000,9.000000,-58.000000,414.000000,213.000000,929.000000
3.700000,-29.000000,-774.000000,-649.000000,-2.000000,18.000000,-44.000000,419.000000,216.000000,929.000000
3.750000,-9.000000,-788.000000,-642.000000,9.000000,16.000000,-53.000000,419.000000,207.000000,925.000000
3.800000,0.000000,-739.000000,-629.000000,14.000000,33.000000,-92.000000,416.000000,203.000000,928.000000
3.850000,-17.000000,-750.000000,-626.000000,-14.000000,12.000000,-28.000000,419.000000,200.000000,931.000000
3.900000,-9.000000,-757.000000,-638.000000,-5.000000,-16.000000,-25.000000,411.000000,195.000000,931.000000
3.950000,1.000000,-745.000000,-651.000000,-2.000000,-22.000000,-47.000000,414.000000,197.000000,928.000000
4.000000,21.000000,-732.000000,-641.000000,0.000000,-25.000000,-53.000000,411.000000,194.000000,932.000000
