Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,-897.000000,-65.000000,7.000000,83.000000,80.000000,73.000000,384.000000,123.000000,-451.000000
0.050000,-704.000000,-25.000000,6.000000,57.000000,131.000000,108.000000,396.000000,133.000000,-451.000000
0.100000,-458.000000,42.000000,-4.000000,149.000000,205.000000,183.000000,381.000000,144.000000,-439.000000
0.150000,-196.000000,172.000000,-218.000000,205.000000,320.000000,203.000000,376.000000,147.000000,-438.000000
0.200000,-546.000000,-739.000000,637.000000,844.000000,283.000000,-285.000000,357.000000,162.000000,-444.000000
0.250000,-1904.000000,-812.000000,1998.000000,-247.000000,-1654.000000,-1188.000000,393.000000,133.000000,-462.000000
0.300000,-1902.000000,-772.000000,1998.000000,-1158.000000,-3262.000000,-1022.000000,433.000000,79.000000,-504.000000
0.350000,-1998.000000,-1857.000000,1998.000000,1347.000000,-4526.000000,-1841.000000,454.000000,-51.000000,-600.000000
0.400000,-1998.000000,-1458.000000,1998.000000,709.000000,-4700.000000,-1539.000000,447.000000,-225.000000,-654.000000
0.450000,-1998.000000,-698.000000,1244.000000,535.000000,-3822.000000,-988.000000,423.000000,-360.000000,-631.000000
0.500000,-1519.000000,134.000000,-103.000000,281.000000,-2643.000000,-609.000000,406.000000,-460.000000,-574.000000
0.550000,-607.000000,-408.000000,-833.000000,-492.000000,-1930.000000,-85.000000,394.000000,-505.000000,-538.000000
0.600000,-395.000000,159.000000,-520.000000,-501.000000,-1222.000000,-458.000000,400.000000,-540.000000,-468.000000
0.650000,41.000000,-94.000000,-195.000000,-375.000000,-709.000000,-339.000000,388.000000,-549.000000,-442.000000
0.700000,343.000000,42.000000,23.000000,217.000000,-1765.000000,-245.000000,381.000000,-576.000000,-400.000000
0.750000,531.000000,-165.000000,359.000000,-82.000000,-215.000000,-198.000000,375.000000,-577.000000,-400.000000
0.800000,688.000000,-262.000000,549.000000,-168.000000,-31.000000,-35.000000,366.000000,-583.000000,-394.000000
0.850000,705.000000,-329.000000,614.000000,-19.000000,71.000000,90.000000,357.000000,-583.000000,-390.000000
0.900000,710.000000,-413.000000,639.000000,52.000000,14.000000,81.000000,379.000000,-577.000000,-396.000000
0.950000,696.000000,-417.000000,623.000000,-26.000000,-15.000000,11.000000,379.000000,-580.000000,-402.000000
1.000000,698.000000,-434.000000,636.000000,38.000000,-2.000000,-15.000000,376.000000,-570.000000,-394.000000
1.050000,638.000000,-352.000000,644.000000,-43.000000,0.000000,-15.000000,367.000000,-579.000000,-397.000000
1.100000,696.000000,-408.000000,632.000000,-14.000000,-16.000000,-36.000000,373.000000,-574.000000,-396.000000
1.150000,653.000000,-345.000000,633.000000,-28.000000,-17.000000,-8.000000,382.000000,-580.000000,-394.000000
1.200000,660.000000,-356.000000,635.000000,11.000000,-11.000000,-14.000000,367.000000,-576.000000,-400.000000
1.250000,692.000000,-354.000000,632.000000,5.000000,-12.000000,4.000000,376.000000,-577.000000,-396.000000
1.300000,655.000000,-343.000000,657.000000,-7.000000,-4.000000,18.000000,372.000000,-579.000000,-399.000000
1.350000,689.000000,-378.000000,645.000000,72.000000,-30.000000,-8.000000,369.000000,-574.000000,-399.000000
1.400000,674.000000,-387.000000,656.000000,20.000000,-18.000000,2.000000,372.000000,-574.000000,-402.000000
1.450000,675.000000,-363.000000,658.000000,1.000000,-27.000000,-14.000000,381.000000,-576.000000,-396.000000
1.500000,681.000000,-348.000000,685.000000,33.000000,-18.000000,0.000000,373.000000,-568.000000,-405.000000
1.550000,671.000000,-355.000000,688.000000,51.000000,-27.000000,11.000000,376.000000,-571.000000,-394.000000
1.600000,665.000000,-413.000000,659.000000,68.000000,-51.000000,29.000000,379.000000,-573.000000,-393.000000
