Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,36.000000,575.000000,861.000000,15.000000,-149.000000,17.000000,-127.000000,-73.000000,460.000000
0.050000,93.000000,591.000000,884.000000,42.000000,-271.000000,29.000000,-128.000000,-83.000000,458.000000
0.100000,177.000000,618.000000,851.000000,74.000000,-491.000000,118.000000,-121.000000,-94.000000,472.000000
0.150000,335.000000,681.000000,886.000000,91.000000,-728.000000,170.000000,-122.000000,-119.000000,481.000000
0.200000,532.000000,792.000000,886.000000,165.000000,-1087.000000,436.000000,-124.000000,-145.000000,497.000000
0.250000,655.000000,877.000000,864.000000,221.000000,-1717.000000,788.000000,-106.000000,-193.000000,532.000000
0.300000,900.000000,826.000000,812.000000,267.000000,-2132.000000,1085.000000,-71.000000,-248.000000,593.000000
0.350000,1016.000000,740.000000,821.000000,597.000000,-2901.000000,1143.000000,-40.000000,-304.000000,686.000000
0.400000,1480.000000,1109.000000,840.000000,1367.000000,-3574.000000,1346.000000,7.000000,-310.000000,815.000000
0.450000,1662.000000,1441.000000,585.000000,2003.000000,-4150.000000,1482.000000,77.000000,-287.000000,959.000000
0.500000,1542.000000,732.000000,278.000000,2322.000000,-3930.000000,2472.000000,170.000000,-181.000000,1075.000000
0.550000,1219.000000,638.000000,-27.000000,2494.000000,-3142.000000,2319.000000,284.000000,-47.000000,1105.000000
0.600000,221.000000,124.000000,-280.000000,2174.000000,-1959.000000,1961.000000,357.000000,77.000000,1073.000000
0.650000,-666.000000,-518.000000,-622.000000,1385.000000,-931.000000,1683.000000,396.000000,186.000000,1010.000000
0.700000,-901.000000,-1128.000000,-691.000000,768.000000,-442.000000,952.000000,404.000000,230.000000,976.000000
0.750000,-693.000000,-1384.000000,-654.000000,513.000000,289.000000,280.000000,402.000000,248.000000,959.000000
0.800000,-822.000000,-1456.000000,-730.000000,277.000000,579.000000,-28.000000,413.000000,240.000000,953.000000
0.850000,-519.000000,-1576.000000,-888.000000,-324.000000,578.000000,-203.000000,414.000000,224.000000,967.000000
0.900000,-1052.000000,-1998.000000,-1574.000000,-928.000000,767.000000,-742.000000,402.000000,195.000000,994.000000
0.950000,163.000000,-1998.000000,-1299.000000,-2379.000000,3049.000000,-2731.000000,368.000000,86.000000,1060.000000
1.000000,-1286.000000,-1622.000000,416.000000,-5411.000000,7032.000000,-6616.000000,170.000000,-200.000000,1036.000000
1.050000,-1998.000000,1997.000000,763.000000,-1591.000000,4534.000000,-6400.000000,-248.000000,-227.000000,667.000000
1.100000,-520.000000,1830.000000,-1760.000000,-107.000000,-4790.000000,2090.000000,-224.000000,-229.000000,676.000000
1.150000,1345.000000,-1445.000000,-220.000000,-477.000000,604.000000,438.000000,-157.000000,-269.000000,707.000000
1.200000,-406.000000,731.000000,492.000000,-602.000000,1018.000000,-1072.000000,-190.000000,-247.000000,656.000000
1.250000,310.000000,1772.000000,994.000000,-485.000000,515.000000,-228.000000,-197.000000,-233.000000,641.000000
1.300000,1587.000000,982.000000,838.000000,-1236.000000,-912.000000,326.000000,-164.000000,-238.000000,634.000000
1.350000,1267.000000,1026.000000,1011.000000,-576.000000,14.000000,-164.000000,-154.000000,-248.000000,635.000000
1.400000,517.000000,752.000000,1266.000000,357.000000,740.000000,-28.000000,-154.000000,-241.000000,617.000000
1.450000,-124.000000,747.000000,1121.000000,107.000000,-99.000000,-187.000000,-167.000000,-235.000000,611.000000
1.500000,85.000000,522.000000,656.000000,-7.000000,-406.000000,36.000000,-164.000000,-239.000000,628.000000
1.550000,353.000000,811.000000,503.000000,109.000000,-247.000000,60.000000,-166.000000,-244.000000,637.000000
1.600000,671.000000,629.000000,371.000000,-285.000000,-460.000000,143.000000,-154.000000,-250.000000,644.000000
1.650000,497.000000,481.000000,549.000000,24.000000,73.000000,28.000000,-143.000000,-256.000000,650.000000
1.700000,332.000000,587.000000,710.000000,133.000000,353.000000,-163.000000,-157.000000,-248.000000,641.000000
1.750000,367.000000,734.000000,681.000000,-107.000000,-136.000000,-100.000000,-167.000000,-242.000000,638.000000
1.800000,441.000000,641.000000,601.000000,-232.000000,-224.000000,-37.000000,-160.000000,-248.000000,644.000000
1.850000,430.000000,589.000000,648.000000,-46.000000,-14.000000,-35.000000,-158.000000,-256.000000,644.000000
1.900000,390.000000,701.000000,655.000000,-2.000000,61.000000,-54.000000,-164.000000,-247.000000,632.000000
1.950000,390.000000,687.000000,653.000000,36.000000,27.000000,84.000000,-157.000000,-248.000000,640.000000
2.000000,461.000000,598.000000,625.000000,-3.000000,-9.000000,127.000000,-157.000000,-254.000000,641.000000
2.050000,431.000000,610.000000,644.000000,157.000000,76.000000,86.000000,-160.000000,-253.000000,629.000000
2.100000,437.000000,628.000000,634.000000,119.000000,13.000000,88.000000,-160.000000,-251.000000,641.000000
2.150000,432.000000,616.000000,620.000000,147.000000,-4.000000,74.000000,-152.000000,-251.000000,640.000000
2.200000,427.000000,667.000000,584.000000,106.000000,-29.000000,74.000000,-152.000000,-248.000000,641.000000
2.250000,466.000000,608.000000,566.000000,91.000000,-39.000000,66.000000,-146.000000,-248.000000,643.000000
2.300000,461.000000,611.000000,568.000000,101.000000,78.000000,52.000000,-154.000000,-250.000000,638.000000
2.350000,409.000000,688.000000,609.000000,199.000000,182.000000,11.000000,-158.000000,-254.000000,637.000000
2.400000,391.000000,683.000000,616.000000,-36.000000,16.000000,54.000000,-155.000000,-239.000000,640.000000
2.450000,411.000000,629.000000,594.000000,43.000000,-16.000000,97.000000,-152.000000,-248.000000,638.000000
2.500000,427.000000,634.000000,616.000000,54.000000,22.000000,66.000000,-151.000000,-247.000000,628.000000
2.550000,415.000000,653.000000,617.000000,21.000000,14.000000,16.000000,-146.000000,-251.000000,629.000000
2.600000,425.000000,620.000000,606.000000,29.000000,-2.000000,70.000000,-152.000000,-250.000000,634.000000
2.650000,440.000000,615.000000,612.000000,49.000000,35.000000,51.000000,-146.000000,-248.000000,640.000000
2.700000,426.000000,631.000000,622.000000,140.000000,91.000000,30.000000,-151.000000,-241.000000,628.000000
2.750000,400.000000,692.000000,630.000000,37.000000,36.000000,18.000000,-148.000000,-251.000000,620.000000
2.800000,413.000000,671.000000,625.000000,-2.000000,-40.000000,64.000000,-155.000000,-247.000000,622.000000
2.850000,437.000000,637.000000,623.000000,27.000000,-36.000000,74.000000,-143.000000,-248.000000,623.000000
2.900000,443.000000,615.000000,613.000000,11.000000,-60.000000,64.000000,-137.000000,-248.000000,625.000000
