Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,455.000000,-368.000000,755.000000,-270.000000,-159.000000,-193.000000,427.000000,-504.000000,-475.000000
0.050000,432.000000,-287.000000,743.000000,-63.000000,-100.000000,-123.000000,415.000000,-513.000000,-478.000000
0.100000,403.000000,-357.000000,728.000000,42.000000,-109.000000,-45.000000,420.000000,-523.000000,-472.000000
0.150000,429.000000,-419.000000,702.000000,78.000000,-109.000000,-29.000000,421.000000,-522.000000,-474.000000
0.200000,400.000000,-445.000000,680.000000,0.000000,-56.000000,-4.000000,420.000000,-513.000000,-469.000000
0.250000,497.000000,-398.000000,708.000000,-58.000000,-44.000000,2.000000,424.000000,-514.000000,-475.000000
0.300000,497.000000,-385.000000,759.000000,-33.000000,-41.000000,33.000000,427.000000,-511.000000,-469.000000
0.350000,514.000000,-394.000000,780.000000,38.000000,-83.000000,44.000000,426.000000,-516.000000,-462.000000
0.400000,401.000000,-424.000000,747.000000,84.000000,-120.000000,35.000000,430.000000,-516.000000,-469.000000
0.450000,361.000000,-423.000000,715.000000,14.000000,-186.000000,-27.000000,432.000000,-513.000000,-463.000000
0.500000,452.000000,-471.000000,756.000000,-32.000000,-165.000000,-67.000000,421.000000,-523.000000,-460.000000
0.550000,547.000000,-531.000000,779.000000,8.000000,-69.000000,-77.000000,427.000000,-523.000000,-450.000000
0.600000,604.000000,-603.000000,882.000000,-149.000000,-30.000000,-67.000000,421.000000,-531.000000,-445.000000
0.650000,752.000000,-591.000000,1084.000000,-119.000000,113.000000,-62.000000,423.000000,-522.000000,-448.000000
0.700000,1052.000000,-800.000000,1338.000000,-11.000000,108.000000,-12.000000,427.000000,-519.000000,-456.000000
0.750000,1035.000000,-937.000000,1488.000000,-65.000000,88.000000,103.000000,426.000000,-519.000000,-457.000000
0.800000,1080.000000,-949.000000,1593.000000,132.000000,41.000000,80.000000,427.000000,-513.000000,-468.000000
0.850000,856.000000,-180.000000,1737.000000,365.000000,16.000000,-87.000000,429.000000,-519.000000,-475.000000
0.900000,869.000000,-149.000000,1998.000000,875.000000,-1409.000000,151.000000,423.000000,-520.000000,-468.000000
0.950000,-688.000000,-1277.000000,1748.000000,203.000000,-3140.000000,-357.000000,402.000000,-556.000000,-397.000000
1.000000,-1998.000000,-1642.000000,-1997.000000,5530.000000,-1561.000000,-312.000000,360.000000,-574.000000,-427.000000
1.050000,666.000000,-1765.000000,1118.000000,-4515.000000,-494.000000,-864.000000,378.000000,-579.000000,-372.000000
1.100000,297.000000,1811.000000,1895.000000,-4868.000000,3181.000000,-1754.000000,345.000000,-594.000000,-355.000000
1.150000,196.000000,-265.000000,-116.000000,3226.000000,101.000000,1460.000000,337.000000,-600.000000,-334.000000
1.200000,406.000000,-1317.000000,692.000000,-358.000000,350.000000,1014.000000,349.000000,-586.000000,-324.000000
1.250000,1569.000000,-397.000000,662.000000,-968.000000,-151.000000,323.000000,324.000000,-606.000000,-319.000000
1.300000,1247.000000,-142.000000,707.000000,200.000000,-160.000000,-79.000000,337.000000,-604.000000,-325.000000
1.350000,936.000000,-703.000000,745.000000,197.000000,-84.000000,42.000000,330.000000,-598.000000,-331.000000
1.400000,603.000000,-203.000000,575.000000,-401.000000,-34.000000,-74.000000,331.000000,-607.000000,-328.000000
1.450000,734.000000,-299.000000,498.000000,196.000000,-101.000000,8.000000,328.000000,-598.000000,-331.000000
1.500000,833.000000,-446.000000,496.000000,-207.000000,-23.000000,26.000000,333.000000,-603.000000,-325.000000
1.550000,785.000000,-218.000000,526.000000,-46.000000,-50.000000,98.000000,333.000000,-598.000000,-325.000000
1.600000,738.000000,-403.000000,447.000000,64.000000,-42.000000,100.000000,340.000000,-595.000000,-322.000000
1.650000,838.000000,-338.000000,501.000000,13.000000,-37.000000,58.000000,352.000000,-601.000000,-313.000000
1.700000,789.000000,-393.000000,498.000000,-42.000000,-4.000000,39.000000,346.000000,-592.000000,-319.000000
1.750000,754.000000,-379.000000,501.000000,-18.000000,-9.000000,35.000000,345.000000,-606.000000,-319.000000
1.800000,753.000000,-412.000000,465.000000,-32.000000,-6.000000,42.000000,342.000000,-594.000000,-316.000000
1.850000,790.000000,-353.000000,503.000000,-175.000000,39.000000,14.000000,346.000000,-600.000000,-322.000000
1.900000,770.000000,-383.000000,521.000000,27.000000,18.000000,35.000000,352.000000,-597.000000,-313.000000
1.950000,768.000000,-420.000000,500.000000,-11.000000,21.000000,39.000000,348.000000,-597.000000,-325.000000
2.000000,784.000000,-420.000000,521.000000,-55.000000,31.000000,42.000000,355.000000,-597.000000,-327.000000
2.050000,776.000000,-386.000000,531.000000,44.000000,14.000000,37.000000,348.000000,-589.000000,-322.000000
2.100000,757.000000,-428.000000,503.000000,-14.000000,14.000000,35.000000,360.000000,-586.000000,-330.000000
2.150000,756.000000,-377.000000,511.000000,36.000000,14.000000,22.000000,355.000000,-582.000000,-322.000000
2.200000,758.000000,-448.000000,512.000000,46.000000,15.000000,22.000000,357.000000,-594.000000,-327.000000
2.250000,733.000000,-429.000000,490.000000,-25.000000,5.000000,25.000000,355.000000,-597.000000,-324.000000
2.300000,723.000000,-380.000000,539.000000,-57.000000,17.000000,11.000000,361.000000,-591.000000,-331.000000
2.350000,727.000000,-422.000000,552.000000,72.000000,-4.000000,58.000000,357.000000,-595.000000,-330.000000
2.400000,732.000000,-391.000000,543.000000,15.000000,2.000000,64.000000,364.000000,-585.000000,-328.000000
2.450000,732.000000,-453.000000,543.000000,46.000000,7.000000,74.000000,363.000000,-588.000000,-342.000000
2.500000,716.000000,-444.000000,522.000000,123.000000,-26.000000,64.000000,366.000000,-585.000000,-336.000000
2.550000,717.000000,-465.000000,540.000000,35.000000,-15.000000,38.000000,373.000000,-585.000000,-339.000000
2.600000,721.000000,-432.000000,544.000000,-21.000000,2.000000,16.000000,378.000000,-580.000000,-342.000000
2.650000,700.000000,-471.000000,526.000000,91.000000,-27.000000,11.000000,372.000000,-580.000000,-340.000000
2.700000,703.000000,-437.000000,573.000000,63.000000,-21.000000,3.000000,369.000000,-586.000000,-340.000000
2.750000,693.000000,-436.000000,567.000000,29.000000,-11.000000,-12.000000,369.000000,-586.000000,-342.000000
2.800000,727.000000,-430.000000,551.000000,66.000000,-34.000000,2.000000,373.000000,-577.000000,-342.000000
2.850000,754.000000,-447.000000,577.000000,4.000000,6.000000,2.000000,372.000000,-589.000000,-348.000000
2.900000,688.000000,-437.000000,570.000000,86.000000,0.000000,26.000000,370.000000,-583.000000,-345.000000
2.950000,647.000000,-390.000000,540.000000,48.000000,-18.000000,25.000000,369.000000,-577.000000,-351.000000
3.000000,667.000000,-484.000000,592.000000,105.000000,20.000000,49.000000,375.000000,-580.000000,-340.000000
3.050000,747.000000,-432.000000,616.000000,33.000000,22.000000,30.000000,378.000000,-585.000000,-348.000000
3.100000,726.000000,-461.000000,585.000000,180.000000,-38.000000,16.000000,375.000000,-580.000000,-345.000000
3.150000,671.000000,-366.000000,514.000000,276.000000,-29.000000,-39.000000,373.000000,-576.000000,-360.000000
3.200000,673.000000,-466.000000,559.000000,203.000000,-15.000000,-21.000000,375.000000,-582.000000,-364.000000
3.250000,651.000000,-332.000000,528.000000,120.000000,41.000000,0.000000,370.000000,-576.000000,-372.000000
3.300000,582.000000,-303.000000,368.000000,495.000000,75.000000,35.000000,379.000000,-574.000000,-376.000000
3.350000,233.000000,-55.000000,124.000000,879.000000,70.000000,-79.000000,372.000000,-574.000000,-399.000000
3.400000,-4.000000,84.000000,-303.000000,2675.000000,229.000000,111.000000,351.000000,-582.000000,-433.000000
3.450000,186.000000,-847.000000,413.000000,599.000000,1620.000000,-271.000000,348.000000,-540.000000,-531.000000
3.500000,-221.000000,-16.000000,598.000000,-2373.000000,2457.000000,-67.000000,367.000000,-507.000000,-570.000000
3.550000,-654.000000,225.000000,933.000000,-588.000000,2805.000000,525.000000,411.000000,-436.000000,-598.000000
3.600000,-1321.000000,-22.000000,1222.000000,1036.000000,2634.000000,599.000000,402.000000,-354.000000,-648.000000
3.650000,-900.000000,-134.000000,1729.000000,1191.000000,2841.000000,235.000000,375.000000,-273.000000,-708.000000
3.700000,-808.000000,-186.000000,1983.000000,538.000000,2467.000000,418.000000,352.000000,-160.000000,-723.000000
3.750000,-602.000000,-78.000000,1687.000000,291.000000,1967.000000,765.000000,339.000000,-85.000000,-715.000000
3.800000,-738.000000,-231.000000,1247.000000,359.000000,1405.000000,422.000000,303.000000,-10.000000,-700.000000
3.850000,-839.000000,-111.000000,888.000000,105.000000,1096.000000,481.000000,288.000000,33.000000,-684.000000
3.900000,-996.000000,20.000000,857.000000,11.000000,520.000000,373.000000,289.000000,51.000000,-661.000000
3.950000,-909.000000,-60.000000,643.000000,-163.000000,296.000000,521.000000,276.000000,76.000000,-646.000000
4.000000,-971.000000,119.000000,333.000000,44.000000,212.000000,282.000000,271.000000,85.000000,-648.000000
4.050000,-983.000000,9.000000,330.000000,-63.000000,132.000000,123.000000,273.000000,97.000000,-643.000000
4.100000,-957.000000,59.000000,357.000000,-95.000000,120.000000,151.000000,274.000000,97.000000,-636.000000
4.150000,-918.000000,102.000000,411.000000,37.000000,85.000000,133.000000,258.000000,106.000000,-624.000000
4.200000,-935.000000,106.000000,461.000000,58.000000,53.000000,14.000000,249.000000,108.000000,-628.000000
4.250000,-937.000000,107.000000,439.000000,2.000000,-13.000000,-2.000000,255.000000,112.000000,-619.000000
4.300000,-912.000000,113.000000,408.000000,37.000000,-77.000000,-32.000000,253.000000,114.000000,-619.000000
4.350000,-912.000000,102.000000,383.000000,-25.000000,-95.000000,-39.000000,264.000000,112.000000,-630.000000
4.400000,-943.000000,161.000000,429.000000,-74.000000,-77.000000,-20.000000,262.000000,106.000000,-628.000000
4.450000,-908.000000,147.000000,423.000000,-20.000000,-95.000000,-11.000000,264.000000,106.000000,-627.000000
4.500000,-915.000000,146.000000,399.000000,0.000000,-133.000000,11.000000,258.000000,102.000000,-625.000000
4.550000,-880.000000,139.000000,369.000000,18.000000,-130.000000,30.000000,267.000000,99.000000,-628.000000
4.600000,-907.000000,107.000000,396.000000,71.000000,-100.000000,16.000000,267.000000,105.000000,-622.000000
4.650000,-909.000000,146.000000,404.000000,-26.000000,-67.000000,23.000000,262.000000,97.000000,-631.000000
4.700000,-925.000000,123.000000,446.000000,43.000000,-46.000000,13.000000,258.000000,105.000000,-637.000000
4.750000,-920.000000,143.000000,445.000000,22.000000,-39.000000,23.000000,259.000000,97.000000,-640.000000
4.800000,-901.000000,106.000000,424.000000,58.000000,-42.000000,14.000000,255.000000,99.000000,-645.000000
4.850000,-910.000000,123.000000,431.000000,-12.000000,-3.000000,-6.000000,261.000000,96.000000,-633.000000
4.900000,-915.000000,140.000000,458.000000,-25.000000,23.000000,-16.000000,258.000000,100.000000,-637.000000
4.950000,-905.000000,111.000000,426.000000,5.000000,13.000000,-17.000000,264.000000,102.000000,-633.000000
5.000000,-911.000000,115.000000,375.000000,4.000000,11.000000,-16.000000,261.000000,94.000000,-630.000000
5.050000,-899.000000,133.000000,407.000000,-13.000000,53.000000,-24.000000,252.000000,103.000000,-631.000000
5.100000,-922.000000,133.000000,430.000000,-15.000000,58.000000,-9.000000,268.000000,103.000000,-627.000000
5.150000,-915.000000,130.000000,410.000000,-50.000000,39.000000,16.000000,265.000000,108.000000,-621.000000
5.200000,-924.000000,127.000000,344.000000,0.000000,7.000000,28.000000,264.000000,114.000000,-616.000000
5.250000,-927.000000,131.000000,350.000000,15.000000,-4.000000,16.000000,270.000000,117.000000,-621.000000
5.300000,-931.000000,115.000000,371.000000,86.000000,-15.000000,14.000000,264.000000,112.000000,-619.000000
5.350000,-928.000000,138.000000,387.000000,99.000000,-28.000000,2.000000,255.000000,109.000000,-628.000000
5.400000,-921.000000,145.000000,389.000000,94.000000,-37.000000,-8.000000,256.000000,109.000000,-621.000000
5.450000,-913.000000,132.000000,378.000000,127.000000,-42.000000,-16.000000,250.000000,111.000000,-622.000000
5.500000,-918.000000,129.000000,380.000000,94.000000,-23.000000,-32.000000,258.000000,106.000000,-615.000000
5.550000,-935.000000,156.000000,400.000000,82.000000,-16.000000,-21.000000,253.000000,112.000000,-624.000000
5.600000,-909.000000,161.000000,404.000000,114.000000,-39.000000,-25.000000,250.000000,108.000000,-630.000000
5.650000,-924.000000,134.000000,393.000000,121.000000,-33.000000,-25.000000,234.000000,109.000000,-631.000000
5.700000,-922.000000,158.000000,405.000000,28.000000,-12.000000,-16.000000,249.000000,114.000000,-631.000000
5.750000,-926.000000,154.000000,410.000000,23.000000,-18.000000,-16.000000,250.000000,118.000000,-639.000000
