Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,873.000000,-13.000000,435.000000,-67.000000,-51.000000,1.000000,-265.000000,-509.000000,553.000000
0.050000,900.000000,-24.000000,430.000000,6.000000,-72.000000,-32.000000,-263.000000,-514.000000,563.000000
0.100000,893.000000,-28.000000,465.000000,59.000000,-56.000000,32.000000,-280.000000,-515.000000,560.000000
0.150000,867.000000,31.000000,446.000000,3.000000,-45.000000,-7.000000,-269.000000,-517.000000,566.000000
0.200000,913.000000,-26.000000,465.000000,58.000000,-32.000000,0.000000,-272.000000,-521.000000,560.000000
0.250000,866.000000,32.000000,495.000000,-7.000000,53.000000,9.000000,-268.000000,-509.000000,560.000000
0.300000,877.000000,-2.000000,377.000000,-86.000000,-56.000000,-23.000000,-272.000000,-520.000000,557.000000
0.350000,926.000000,-23.000000,480.000000,-42.000000,-65.000000,-23.000000,-266.000000,-515.000000,554.000000
0.400000,891.000000,-32.000000,403.000000,-13.000000,-14.000000,65.000000,-266.000000,-520.000000,559.000000
0.450000,887.000000,-27.000000,450.000000,51.000000,-74.000000,16.000000,-269.000000,-515.000000,562.000000
0.500000,905.000000,-10.000000,466.000000,21.000000,7.000000,0.000000,-259.000000,-520.000000,560.000000
0.550000,889.000000,-18.000000,420.000000,44.000000,12.000000,37.000000,-266.000000,-520.000000,556.000000
0.600000,876.000000,9.000000,476.000000,70.000000,-16.000000,6.000000,-266.000000,-517.000000,559.000000
0.650000,905.000000,-16.000000,406.000000,78.000000,-6.000000,21.000000,-272.000000,-517.000000,553.000000
0.700000,874.000000,0.000000,476.000000,56.000000,-21.000000,29.000000,-257.000000,-521.000000,563.000000
0.750000,901.000000,-30.000000,409.000000,3.000000,-9.000000,18.000000,-268.000000,-524.000000,557.000000
0.800000,873.000000,16.000000,468.000000,18.000000,-49.000000,18.000000,-266.000000,-520.000000,565.000000
0.850000,903.000000,-30.000000,427.000000,4.000000,-33.000000,9.000000,-272.000000,-524.000000,562.000000
0.900000,883.000000,-1.000000,446.000000,13.000000,-37.000000,18.000000,-263.000000,-523.000000,556.000000
0.950000,902.000000,-14.000000,436.000000,25.000000,-38.000000,2.000000,-269.000000,-523.000000,568.000000
1.000000,888.000000,5.000000,443.000000,30.000000,-33.000000,16.000000,-265.000000,-520.000000,559.000000
1.050000,895.000000,-20.000000,432.000000,21.000000,-39.000000,7.000000,-266.000000,-526.000000,568.000000
1.100000,893.000000,-4.000000,437.000000,1.000000,-21.000000,5.000000,-269.000000,-526.000000,569.000000
1.150000,892.000000,-11.000000,439.000000,5.000000,-40.000000,17.000000,-259.000000,-517.000000,563.000000
1.200000,890.000000,-1.000000,435.000000,18.000000,-37.000000,-3.000000,-268.000000,-526.000000,572.000000
1.250000,901.000000,-22.000000,428.000000,0.000000,-46.000000,8.000000,-271.000000,-529.000000,560.000000
1.300000,893.000000,-3.000000,427.000000,21.000000,-21.000000,7.000000,-263.000000,-530.000000,575.000000
1.350000,900.000000,-7.000000,435.000000,27.000000,-28.000000,7.000000,-269.000000,-529.000000,571.000000
1.400000,889.000000,4.000000,445.000000,25.000000,-37.000000,23.000000,-271.000000,-523.000000,569.000000
1.450000,901.000000,-14.000000,420.000000,13.000000,-41.000000,6.000000,-265.000000,-526.000000,563.000000
1.500000,905.000000,-10.000000,440.000000,18.000000,-21.000000,5.000000,-268.000000,-523.000000,571.000000
1.550000,888.000000,-5.000000,418.000000,5.000000,-39.000000,23.000000,-260.000000,-524.000000,565.000000
1.600000,905.000000,-16.000000,423.000000,18.000000,-16.000000,0.000000,-263.000000,-535.000000,571.000000
1.650000,892.000000,0.000000,439.000000,8.000000,-40.000000,23.000000,-263.000000,-529.000000,572.000000
1.700000,908.000000,-35.000000,402.000000,25.000000,-5.000000,-9.000000,-260.000000,-527.000000,562.000000
1.750000,888.000000,1.000000,446.000000,35.000000,-42.000000,16.000000,-268.000000,-526.000000,577.000000
1.800000,909.000000,-21.000000,404.000000,14.000000,-21.000000,-4.000000,-277.000000,-533.000000,574.000000
1.850000,891.000000,6.000000,443.000000,27.000000,-31.000000,17.000000,-271.000000,-529.000000,571.000000
1.900000,907.000000,-26.000000,398.000000,11.000000,-20.000000,1.000000,-265.000000,-533.000000,577.000000
1.950000,897.000000,6.000000,426.000000,22.000000,-27.000000,14.000000,-266.000000,-527.000000,572.000000
2.000000,897.000000,-16.000000,432.000000,60.000000,-46.000000,23.000000,-274.000000,-527.000000,566.000000
2.050000,914.000000,-28.000000,428.000000,18.000000,-18.000000,2.000000,-263.000000,-538.000000,578.000000
2.100000,907.000000,-2.000000,437.000000,32.000000,4.000000,51.000000,-263.000000,-532.000000,575.000000
2.150000,896.000000,0.000000,451.000000,-6.000000,53.000000,38.000000,-260.000000,-532.000000,574.000000
2.200000,896.000000,-1.000000,428.000000,28.000000,25.000000,20.000000,-259.000000,-535.000000,571.000000
2.250000,894.000000,-67.000000,441.000000,-17.000000,118.000000,56.000000,-262.000000,-529.000000,575.000000
2.300000,901.000000,-46.000000,454.000000,-25.000000,152.000000,127.000000,-256.000000,-530.000000,551.000000
2.350000,870.000000,18.000000,421.000000,14.000000,178.000000,113.000000,-244.000000,-518.000000,553.000000
2.400000,870.000000,-60.000000,491.000000,33.000000,40.000000,92.000000,-242.000000,-520.000000,548.000000
2.450000,895.000000,-50.000000,477.000000,-24.000000,129.000000,56.000000,-241.000000,-521.000000,530.000000
2.500000,867.000000,-44.000000,467.000000,9.000000,116.000000,23.000000,-235.000000,-512.000000,542.000000
2.550000,898.000000,-71.000000,509.000000,99.000000,-12.000000,140.000000,-224.000000,-517.000000,530.000000
2.600000,873.000000,-58.000000,477.000000,8.000000,52.000000,154.000000,-227.000000,-520.000000,536.000000
2.650000,854.000000,-99.000000,494.000000,9.000000,-14.000000,241.000000,-226.000000,-526.000000,536.000000
