Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,-879.000000,-348.000000,9.000000,-36.000000,235.000000,68.000000,472.000000,63.000000,-438.000000
0.050000,-576.000000,-218.000000,-66.000000,-121.000000,400.000000,92.000000,474.000000,67.000000,-426.000000
0.100000,72.000000,85.000000,139.000000,-149.000000,547.000000,205.000000,468.000000,67.000000,-405.000000
0.150000,-290.000000,218.000000,559.000000,-135.000000,416.000000,338.000000,456.000000,70.000000,-382.000000
0.200000,-1262.000000,62.000000,1280.000000,326.000000,-642.000000,131.000000,456.000000,91.000000,-387.000000
0.250000,-1394.000000,-1859.000000,1998.000000,861.000000,-2103.000000,-753.000000,460.000000,69.000000,-457.000000
0.300000,-1619.000000,-1998.000000,1998.000000,1682.000000,-3697.000000,-1287.000000,468.000000,-6.000000,-562.000000
0.350000,-1998.000000,-1998.000000,1998.000000,1227.000000,-5042.000000,-1687.000000,447.000000,-166.000000,-642.000000
0.400000,-1998.000000,-1990.000000,1998.000000,459.000000,-5184.000000,-1991.000000,430.000000,-358.000000,-630.000000
0.450000,-1998.000000,-231.000000,517.000000,1293.000000,-3310.000000,-1479.000000,367.000000,-498.000000,-577.000000
0.500000,-587.000000,-590.000000,-707.000000,371.000000,-2699.000000,-452.000000,324.000000,-567.000000,-516.000000
0.550000,-474.000000,162.000000,-845.000000,-444.000000,-1429.000000,-631.000000,309.000000,-595.000000,-426.000000
0.600000,-7.000000,-31.000000,-267.000000,-139.000000,-564.000000,-309.000000,289.000000,-609.000000,-409.000000
0.650000,160.000000,302.000000,-82.000000,-371.000000,-337.000000,-224.000000,285.000000,-622.000000,-396.000000
0.700000,446.000000,37.000000,286.000000,-29.000000,-182.000000,-214.000000,277.000000,-616.000000,-384.000000
0.750000,608.000000,-58.000000,464.000000,-142.000000,-136.000000,-100.000000,270.000000,-633.000000,-379.000000
0.800000,685.000000,-152.000000,528.000000,-57.000000,-107.000000,-14.000000,270.000000,-627.000000,-372.000000
0.850000,736.000000,-175.000000,523.000000,-28.000000,-70.000000,-27.000000,274.000000,-631.000000,-378.000000
0.900000,752.000000,-142.000000,542.000000,-82.000000,-55.000000,3.000000,268.000000,-628.000000,-367.000000
0.950000,753.000000,-106.000000,568.000000,-100.000000,-49.000000,28.000000,265.000000,-631.000000,-370.000000
1.000000,820.000000,-215.000000,598.000000,-3.000000,-10.000000,24.000000,268.000000,-630.000000,-372.000000
1.050000,801.000000,-208.000000,648.000000,-7.000000,-72.000000,72.000000,280.000000,-624.000000,-360.000000
1.100000,782.000000,-236.000000,629.000000,45.000000,-41.000000,30.000000,276.000000,-618.000000,-364.000000
