Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,-34.000000,-731.000000,-653.000000,17.000000,-16.000000,13.000000,404.000000,239.000000,949.000000
0.050000,-32.000000,-705.000000,-627.000000,13.000000,-24.000000,-8.000000,402.000000,242.000000,940.000000
0.100000,-92.000000,-688.000000,-607.000000,20.000000,-8.000000,2.000000,402.000000,240.000000,937.000000
0.150000,-56.000000,-740.000000,-610.000000,26.000000,-63.000000,43.000000,405.000000,237.000000,938.000000
0.200000,-75.000000,-753.000000,-660.000000,33.000000,-45.000000,51.000000,399.000000,249.000000,937.000000
0.250000,-8.000000,-753.000000,-676.000000,14.000000,-42.000000,0.000000,399.000000,243.000000,938.000000
0.300000,-19.000000,-717.000000,-624.000000,-11.000000,93.000000,-65.000000,402.000000,246.000000,938.000000
0.350000,-72.000000,-612.000000,-592.000000,-53.000000,23.000000,46.000000,398.000000,234.000000,943.000000
0.400000,8.000000,-495.000000,-513.000000,2.000000,29.000000,240.000000,404.000000,248.000000,940.000000
0.450000,81.000000,-381.000000,-361.000000,-6.000000,193.000000,417.000000,401.000000,261.000000,949.000000
0.500000,-56.000000,-380.000000,-300.000000,-3.000000,168.000000,238.000000,390.000000,267.000000,949.000000
0.550000,-226.000000,-920.000000,-781.000000,52.000000,-235.000000,-42.000000,392.000000,270.000000,946.000000
0.600000,-162.000000,-1573.000000,-1436.000000,-203.000000,106.000000,-44.000000,387.000000,275.000000,958.000000
0.650000,-121.000000,-1763.000000,-1463.000000,-284.000000,826.000000,-396.000000,392.000000,266.000000,959.000000
0.700000,-453.000000,-1618.000000,-1443.000000,-136.000000,1294.000000,-591.000000,393.000000,233.000000,983.000000
0.750000,-300.000000,-1855.000000,-1566.000000,-222.000000,666.000000,-486.000000,395.000000,195.000000,992.000000
0.800000,-1070.000000,-1998.000000,-1997.000000,-716.000000,500.000000,392.000000,389.000000,186.000000,1021.000000
0.850000,545.000000,-1961.000000,-1407.000000,-2860.000000,2581.000000,-3080.000000,344.000000,86.000000,1097.000000
