Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,211.000000,488.000000,852.000000,16.000000,-14.000000,-3.000000,-50.000000,-143.000000,476.000000
0.050000,217.000000,479.000000,854.000000,16.000000,-25.000000,-7.000000,-46.000000,-134.000000,485.000000
0.100000,213.000000,482.000000,857.000000,15.000000,-14.000000,-4.000000,-43.000000,-145.000000,475.000000
0.150000,219.000000,479.000000,859.000000,17.000000,-33.000000,-17.000000,-40.000000,-145.000000,479.000000
0.200000,223.000000,485.000000,855.000000,14.000000,-46.000000,-14.000000,-52.000000,-137.000000,479.000000
0.250000,220.000000,492.000000,849.000000,13.000000,-37.000000,2.000000,-49.000000,-146.000000,475.000000
0.300000,215.000000,477.000000,854.000000,12.000000,-26.000000,-3.000000,-49.000000,-142.000000,475.000000
0.350000,214.000000,490.000000,858.000000,14.000000,-32.000000,-16.000000,-46.000000,-139.000000,482.000000
0.400000,216.000000,487.000000,836.000000,6.000000,-23.000000,14.000000,-50.000000,-143.000000,478.000000
0.450000,218.000000,448.000000,851.000000,-1.000000,19.000000,15.000000,-47.000000,-136.000000,485.000000
0.500000,201.000000,453.000000,838.000000,0.000000,14.000000,10.000000,-47.000000,-133.000000,475.000000
0.550000,195.000000,473.000000,831.000000,2.000000,37.000000,23.000000,-40.000000,-145.000000,481.000000
0.600000,194.000000,475.000000,855.000000,1.000000,18.000000,32.000000,-40.000000,-137.000000,478.000000
0.650000,213.000000,487.000000,925.000000,3.000000,-126.000000,130.000000,-34.000000,-136.000000,484.000000
0.700000,297.000000,515.000000,921.000000,105.000000,-838.000000,308.000000,-40.000000,-152.000000,490.000000
0.750000,1010.000000,623.000000,942.000000,-128.000000,-1716.000000,586.000000,-19.000000,-202.000000,527.000000
0.800000,1502.000000,352.000000,1010.000000,62.000000,-2380.000000,885.000000,13.000000,-253.000000,595.000000
0.850000,1995.000000,988.000000,346.000000,308.000000,-3418.000000,1106.000000,46.000000,-296.000000,700.000000
0.900000,1995.000000,896.000000,549.000000,833.000000,-4329.000000,1315.000000,91.000000,-298.000000,841.000000
0.950000,1995.000000,632.000000,655.000000,1171.000000,-5063.000000,2573.000000,188.000000,-230.000000,1012.000000
1.000000,1995.000000,1453.000000,1030.000000,1929.000000,-4701.000000,1388.000000,266.000000,-85.000000,1102.000000
1.050000,1038.000000,896.000000,615.000000,2629.000000,-3865.000000,888.000000,327.000000,48.000000,1102.000000
1.100000,-321.000000,193.000000,113.000000,1857.000000,-2090.000000,2076.000000,380.000000,159.000000,1042.000000
1.150000,-943.000000,-229.000000,84.000000,1180.000000,-1194.000000,1229.000000,387.000000,236.000000,988.000000
1.200000,-1131.000000,-686.000000,14.000000,858.000000,-895.000000,576.000000,395.000000,276.000000,949.000000
1.250000,-631.000000,-736.000000,100.000000,415.000000,-704.000000,379.000000,384.000000,300.000000,928.000000
1.300000,-592.000000,-662.000000,-79.000000,203.000000,-123.000000,55.000000,387.000000,302.000000,910.000000
1.350000,-395.000000,-671.000000,-308.000000,66.000000,-216.000000,18.000000,393.000000,306.000000,904.000000
1.400000,-129.000000,-635.000000,-522.000000,-2.000000,-39.000000,-38.000000,383.000000,305.000000,911.000000
1.450000,-126.000000,-591.000000,-507.000000,2.000000,124.000000,-221.000000,389.000000,300.000000,911.000000
1.500000,-288.000000,-559.000000,-526.000000,13.000000,46.000000,-72.000000,399.000000,300.000000,904.000000
1.550000,-289.000000,-732.000000,-629.000000,32.000000,-72.000000,-81.000000,381.000000,293.000000,908.000000
1.600000,-178.000000,-834.000000,-645.000000,82.000000,-30.000000,-202.000000,401.000000,279.000000,904.000000
1.650000,-144.000000,-734.000000,-650.000000,86.000000,64.000000,-44.000000,402.000000,282.000000,904.000000
1.700000,-199.000000,-709.000000,-613.000000,9.000000,75.000000,90.000000,399.000000,282.000000,901.000000
1.750000,-263.000000,-780.000000,-592.000000,36.000000,57.000000,-4.000000,405.000000,276.000000,899.000000
1.800000,-234.000000,-762.000000,-568.000000,69.000000,32.000000,-70.000000,396.000000,275.000000,910.000000
1.850000,-185.000000,-738.000000,-580.000000,51.000000,-4.000000,-56.000000,398.000000,279.000000,901.000000
1.900000,-171.000000,-776.000000,-611.000000,16.000000,-51.000000,-35.000000,398.000000,266.000000,887.000000
1.950000,-169.000000,-782.000000,-612.000000,6.000000,7.000000,-57.000000,401.000000,275.000000,902.000000
2.000000,-159.000000,-771.000000,-597.000000,12.000000,18.000000,-57.000000,404.000000,272.000000,901.000000
2.050000,-172.000000,-764.000000,-600.000000,7.000000,3.000000,6.000000,404.000000,266.000000,901.000000
2.100000,-143.000000,-773.000000,-597.000000,28.000000,-36.000000,-9.000000,410.000000,263.000000,899.000000
2.150000,-161.000000,-792.000000,-601.000000,43.000000,-18.000000,-22.000000,408.000000,267.000000,905.000000
2.200000,-144.000000,-765.000000,-591.000000,34.000000,-25.000000,-21.000000,408.000000,267.000000,899.000000
2.250000,-181.000000,-768.000000,-606.000000,20.000000,-28.000000,-14.000000,402.000000,266.000000,899.000000
2.300000,-181.000000,-810.000000,-619.000000,7.000000,-30.000000,-28.000000,399.000000,260.000000,901.000000
2.350000,-178.000000,-832.000000,-611.000000,11.000000,-35.000000,-50.000000,402.000000,269.000000,893.000000
2.400000,-162.000000,-796.000000,-613.000000,14.000000,3.000000,-39.000000,404.000000,260.000000,902.000000
2.450000,-162.000000,-779.000000,-603.000000,1.000000,21.000000,-23.000000,401.000000,264.000000,905.000000
2.500000,-162.000000,-761.000000,-595.000000,-1.000000,26.000000,-28.000000,414.000000,254.000000,898.000000
2.550000,-155.000000,-760.000000,-595.000000,-5.000000,16.000000,-23.000000,408.000000,252.000000,899.000000
2.600000,-157.000000,-774.000000,-597.000000,4.000000,0.000000,-32.000000,405.000000,251.000000,901.000000
2.650000,-124.000000,-746.000000,-588.000000,10.000000,2.000000,-33.000000,408.000000,252.000000,899.000000
2.700000,-118.000000,-726.000000,-594.000000,4.000000,-2.000000,-30.000000,405.000000,261.000000,905.000000
2.750000,-104.000000,-747.000000,-587.000000,0.000000,-2.000000,-14.000000,405.000000,252.000000,907.000000
2.800000,-141.000000,-767.000000,-612.000000,-7.000000,-9.000000,-2.000000,405.000000,254.000000,916.000000
2.850000,-116.000000,-751.000000,-603.000000,-3.000000,-6.000000,-23.000000,408.000000,248.000000,914.000000
2.900000,-120.000000,-741.000000,-605.000000,-3.000000,-29.000000,-34.000000,404.000000,255.000000,917.000000
2.950000,-130.000000,-771.000000,-613.000000,7.000000,-66.000000,11.000000,413.000000,248.000000,913.000000
3.000000,-139.000000,-783.000000,-633.000000,23.000000,-71.000000,28.000000,416.000000,251.000000,917.000000
3.050000,-116.000000,-800.000000,-645.000000,35.000000,-72.000000,-10.000000,407.000000,246.000000,902.000000
3.100000,-97.000000,-794.000000,-640.000000,20.000000,-28.000000,-14.000000,410.000000,252.000000,913.000000
3.150000,-128.000000,-778.000000,-628.000000,3.000000,14.000000,18.000000,405.000000,251.000000,908.000000
3.200000,-152.000000,-761.000000,-603.000000,26.000000,0.000000,-9.000000,410.000000,251.000000,913.000000
3.250000,-149.000000,-753.000000,-589.000000,32.000000,-35.000000,9.000000,414.000000,251.000000,908.000000
3.300000,-137.000000,-751.000000,-598.000000,21.000000,-30.000000,21.000000,402.000000,248.000000,893.000000
3.350000,-137.000000,-780.000000,-615.000000,26.000000,-37.000000,-5.000000,402.000000,248.000000,898.000000
3.400000,-131.000000,-774.000000,-622.000000,7.000000,-35.000000,-19.000000,404.000000,249.000000,914.000000
3.450000,-111.000000,-767.000000,-611.000000,9.000000,-23.000000,-26.000000,402.000000,246.000000,901.000000
3.500000,-137.000000,-757.000000,-600.000000,11.000000,-28.000000,-11.000000,405.000000,252.000000,907.000000
3.550000,-139.000000,-751.000000,-604.000000,12.000000,-46.000000,25.000000,410.000000,254.000000,910.000000
3.600000,-133.000000,-772.000000,-607.000000,18.000000,-66.000000,23.000000,411.000000,251.000000,907.000000
3.650000,-141.000000,-780.000000,-611.000000,29.000000,-43.000000,2.000000,402.000000,252.000000,905.000000
3.700000,-149.000000,-795.000000,-632.000000,35.000000,-46.000000,6.000000,402.000000,248.000000,907.000000
3.750000,-101.000000,-779.000000,-635.000000,32.000000,-19.000000,-2.000000,402.000000,249.000000,910.000000
3.800000,-105.000000,-759.000000,-616.000000,24.000000,52.000000,30.000000,405.000000,249.000000,907.000000
3.850000,-152.000000,-752.000000,-597.000000,21.000000,65.000000,54.000000,411.000000,249.000000,907.000000
3.900000,-161.000000,-761.000000,-575.000000,24.000000,23.000000,37.000000,407.000000,246.000000,899.000000
3.950000,-161.000000,-771.000000,-595.000000,25.000000,-11.000000,43.000000,413.000000,255.000000,908.000000
4.000000,-145.000000,-784.000000,-617.000000,30.000000,-30.000000,30.000000,404.000000,249.000000,899.000000
4.050000,-132.000000,-798.000000,-623.000000,33.000000,-2.000000,11.000000,410.000000,255.000000,901.000000
4.100000,-142.000000,-785.000000,-635.000000,14.000000,14.000000,-3.000000,404.000000,257.000000,902.000000
4.150000,-143.000000,-792.000000,-634.000000,5.000000,15.000000,-15.000000,404.000000,254.000000,910.000000
4.200000,-136.000000,-776.000000,-627.000000,12.000000,5.000000,-4.000000,408.000000,252.000000,910.000000
4.250000,-131.000000,-778.000000,-615.000000,29.000000,-18.000000,-2.000000,407.000000,258.000000,902.000000
4.300000,-123.000000,-767.000000,-605.000000,32.000000,-20.000000,19.000000,408.000000,258.000000,905.000000
4.350000,-136.000000,-760.000000,-599.000000,21.000000,-19.000000,2.000000,410.000000,255.000000,902.000000
4.400000,-151.000000,-767.000000,-588.000000,21.000000,-23.000000,-19.000000,402.000000,248.000000,913.000000
4.450000,-119.000000,-743.000000,-584.000000,14.000000,-53.000000,-33.000000,404.000000,249.000000,907.000000
4.500000,-111.000000,-729.000000,-573.000000,15.000000,-47.000000,-41.000000,411.000000,243.000000,901.000000
4.550000,-130.000000,-754.000000,-577.000000,8.000000,-74.000000,-9.000000,404.000000,251.000000,896.000000
4.600000,-169.000000,-769.000000,-608.000000,2.000000,-100.000000,2.000000,401.000000,245.000000,895.000000
4.650000,-140.000000,-796.000000,-631.000000,9.000000,-117.000000,-44.000000,402.000000,243.000000,905.000000
4.700000,-126.000000,-807.000000,-629.000000,0.000000,-55.000000,-51.000000,414.000000,252.000000,905.000000
4.750000,-138.000000,-796.000000,-637.000000,-3.000000,-20.000000,-53.000000,413.000000,240.000000,898.000000
4.800000,-128.000000,-790.000000,-619.000000,16.000000,30.000000,-49.000000,414.000000,236.000000,907.000000
4.850000,-116.000000,-761.000000,-608.000000,21.000000,24.000000,-33.000000,413.000000,239.000000,904.000000
4.900000,-118.000000,-755.000000,-598.000000,17.000000,12.000000,-7.000000,413.000000,240.000000,905.000000
4.950000,-122.000000,-760.000000,-592.000000,16.000000,-24.000000,14.000000,411.000000,242.000000,904.000000
5.000000,-119.000000,-775.000000,-603.000000,22.000000,-51.000000,11.000000,407.000000,239.000000,907.000000
5.050000,-126.000000,-780.000000,-609.000000,22.000000,-49.000000,25.000000,402.000000,236.000000,907.000000
5.100000,-121.000000,-768.000000,-614.000000,24.000000,-28.000000,14.000000,414.000000,245.000000,899.000000
5.150000,-118.000000,-778.000000,-613.000000,11.000000,-14.000000,15.000000,407.000000,242.000000,905.000000
5.200000,-129.000000,-761.000000,-598.000000,4.000000,3.000000,7.000000,411.000000,240.000000,904.000000
5.250000,-159.000000,-760.000000,-611.000000,11.000000,-11.000000,-9.000000,407.000000,239.000000,895.000000
5.300000,-128.000000,-776.000000,-618.000000,25.000000,-29.000000,1.000000,404.000000,243.000000,904.000000
5.350000,-102.000000,-777.000000,-632.000000,22.000000,-14.000000,16.000000,408.000000,243.000000,901.000000
5.400000,-119.000000,-788.000000,-622.000000,22.000000,-5.000000,10.000000,411.000000,245.000000,904.000000
5.450000,-118.000000,-768.000000,-614.000000,21.000000,-9.000000,5.000000,410.000000,239.000000,904.000000
5.500000,-122.000000,-750.000000,-605.000000,21.000000,-10.000000,0.000000,408.000000,243.000000,899.000000
5.550000,-135.000000,-768.000000,-599.000000,28.000000,-39.000000,11.000000,410.000000,242.000000,902.000000
5.600000,-129.000000,-774.000000,-614.000000,28.000000,-55.000000,18.000000,411.000000,240.000000,896.000000
5.650000,-122.000000,-796.000000,-613.000000,34.000000,-37.000000,12.000000,410.000000,243.000000,901.000000
5.700000,-143.000000,-802.000000,-621.000000,32.000000,-15.000000,16.000000,414.000000,243.000000,902.000000
5.750000,-125.000000,-775.000000,-625.000000,20.000000,-23.000000,0.000000,410.000000,239.000000,902.000000
5.800000,-126.000000,-788.000000,-621.000000,5.000000,-11.000000,2.000000,405.000000,248.000000,893.000000
5.850000,-122.000000,-785.000000,-601.000000,14.000000,-14.000000,9.000000,410.000000,249.000000,902.000000
5.900000,-127.000000,-777.000000,-595.000000,39.000000,-46.000000,21.000000,405.000000,245.000000,904.000000
