Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,-816.000000,-299.000000,-196.000000,-74.000000,-58.000000,0.000000,454.000000,93.000000,-306.000000
0.050000,-785.000000,-190.000000,-119.000000,-97.000000,-112.000000,30.000000,459.000000,96.000000,-298.000000
0.100000,-785.000000,87.000000,137.000000,-124.000000,-253.000000,227.000000,456.000000,91.000000,-304.000000
0.150000,151.000000,-181.000000,603.000000,-97.000000,-651.000000,119.000000,438.000000,108.000000,-316.000000
0.200000,-1080.000000,-1158.000000,1998.000000,-265.000000,-3782.000000,-1129.000000,460.000000,87.000000,-363.000000
0.250000,-1998.000000,-1998.000000,1998.000000,2223.000000,-5054.000000,-2940.000000,502.000000,-27.000000,-514.000000
0.300000,-1998.000000,-1998.000000,1998.000000,1670.000000,-4732.000000,-1609.000000,465.000000,-202.000000,-630.000000
0.350000,-1998.000000,-1563.000000,1439.000000,-438.000000,-4482.000000,-1295.000000,463.000000,-357.000000,-597.000000
0.400000,-1417.000000,-88.000000,501.000000,888.000000,-2808.000000,-1639.000000,439.000000,-469.000000,-543.000000
0.450000,-703.000000,-410.000000,-68.000000,959.000000,-1351.000000,-698.000000,390.000000,-523.000000,-522.000000
0.500000,19.000000,-174.000000,-129.000000,-1028.000000,-1582.000000,-452.000000,379.000000,-564.000000,-457.000000
0.550000,-152.000000,375.000000,29.000000,-84.000000,-1184.000000,-607.000000,384.000000,-574.000000,-397.000000
0.600000,-16.000000,-1.000000,99.000000,600.000000,-471.000000,24.000000,366.000000,-580.000000,-390.000000
0.650000,350.000000,-331.000000,153.000000,-302.000000,-619.000000,695.000000,387.000000,-576.000000,-361.000000
0.700000,340.000000,-274.000000,342.000000,155.000000,714.000000,-763.000000,369.000000,-576.000000,-381.000000
0.750000,699.000000,-418.000000,560.000000,25.000000,48.000000,9.000000,376.000000,-577.000000,-376.000000
0.800000,752.000000,-428.000000,671.000000,-100.000000,135.000000,77.000000,370.000000,-586.000000,-379.000000
0.850000,698.000000,-412.000000,652.000000,-86.000000,84.000000,34.000000,382.000000,-580.000000,-376.000000
0.900000,677.000000,-432.000000,618.000000,20.000000,28.000000,7.000000,369.000000,-571.000000,-387.000000
0.950000,692.000000,-447.000000,592.000000,-58.000000,4.000000,-7.000000,379.000000,-571.000000,-378.000000
1.000000,676.000000,-418.000000,599.000000,-66.000000,23.000000,-11.000000,366.000000,-577.000000,-381.000000
1.050000,668.000000,-382.000000,638.000000,-53.000000,51.000000,-51.000000,369.000000,-573.000000,-390.000000
1.100000,673.000000,-378.000000,635.000000,4.000000,32.000000,-25.000000,373.000000,-582.000000,-384.000000
1.150000,649.000000,-367.000000,651.000000,2.000000,44.000000,13.000000,376.000000,-579.000000,-378.000000
1.200000,648.000000,-415.000000,646.000000,78.000000,37.000000,11.000000,378.000000,-577.000000,-394.000000
1.250000,668.000000,-405.000000,661.000000,25.000000,16.000000,12.000000,379.000000,-573.000000,-381.000000
1.300000,666.000000,-401.000000,670.000000,96.000000,17.000000,-5.000000,370.000000,-573.000000,-399.000000
1.350000,655.000000,-425.000000,655.000000,63.000000,-2.000000,-10.000000,369.000000,-571.000000,-406.000000
1.400000,659.000000,-376.000000,669.000000,-9.000000,-7.000000,-1.000000,376.000000,-570.000000,-399.000000
1.450000,672.000000,-399.000000,672.000000,48.000000,-8.000000,-15.000000,372.000000,-574.000000,-406.000000
1.500000,694.000000,-409.000000,677.000000,22.000000,-32.000000,-18.000000,381.000000,-573.000000,-406.000000
1.550000,685.000000,-405.000000,671.000000,0.000000,-61.000000,-44.000000,379.000000,-577.000000,-399.000000
1.600000,657.000000,-384.000000,658.000000,29.000000,-62.000000,-30.000000,369.000000,-585.000000,-405.000000
1.650000,637.000000,-368.000000,654.000000,-13.000000,-63.000000,-24.000000,360.000000,-576.000000,-400.000000
1.700000,644.000000,-378.000000,649.000000,58.000000,-64.000000,-6.000000,370.000000,-577.000000,-402.000000
1.750000,631.000000,-386.000000,648.000000,53.000000,-58.000000,2.000000,361.000000,-570.000000,-393.000000
1.800000,668.000000,-420.000000,624.000000,59.000000,-40.000000,7.000000,360.000000,-579.000000,-396.000000
1.850000,667.000000,-384.000000,631.000000,7.000000,-39.000000,22.000000,370.000000,-583.000000,-393.000000
1.900000,677.000000,-337.000000,643.000000,19.000000,-35.000000,6.000000,373.000000,-571.000000,-396.000000
1.950000,649.000000,-332.000000,651.000000,69.000000,0.000000,32.000000,366.000000,-580.000000,-387.000000
2.000000,628.000000,-407.000000,657.000000,104.000000,16.000000,47.000000,373.000000,-579.000000,-391.000000
2.050000,640.000000,-460.000000,669.000000,18.000000,11.000000,49.000000,376.000000,-574.000000,-400.000000
2.100000,641.000000,-427.000000,674.000000,-33.000000,0.000000,14.000000,381.000000,-571.000000,-397.000000
2.150000,668.000000,-415.000000,664.000000,0.000000,-27.000000,-14.000000,375.000000,-564.000000,-397.000000
2.200000,641.000000,-384.000000,659.000000,-35.000000,-24.000000,-10.000000,379.000000,-576.000000,-393.000000
2.250000,651.000000,-383.000000,644.000000,32.000000,-21.000000,-7.000000,387.000000,-580.000000,-402.000000
2.300000,667.000000,-390.000000,654.000000,16.000000,-30.000000,5.000000,375.000000,-576.000000,-402.000000
2.350000,627.000000,-364.000000,670.000000,2.000000,-12.000000,13.000000,381.000000,-576.000000,-402.000000
2.400000,653.000000,-410.000000,669.000000,81.000000,-9.000000,24.000000,381.000000,-568.000000,-403.000000
2.450000,640.000000,-401.000000,674.000000,4.000000,-19.000000,24.000000,382.000000,-573.000000,-400.000000
2.500000,628.000000,-379.000000,668.000000,48.000000,-11.000000,32.000000,384.000000,-567.000000,-402.000000
2.550000,612.000000,-434.000000,676.000000,62.000000,-7.000000,39.000000,384.000000,-568.000000,-405.000000
2.600000,615.000000,-466.000000,661.000000,26.000000,-35.000000,49.000000,385.000000,-568.000000,-400.000000
2.650000,626.000000,-436.000000,671.000000,-55.000000,-32.000000,21.000000,381.000000,-570.000000,-402.000000
2.700000,635.000000,-411.000000,663.000000,20.000000,-21.000000,-6.000000,387.000000,-567.000000,-403.000000
2.750000,627.000000,-403.000000,654.000000,46.000000,-11.000000,-17.000000,388.000000,-568.000000,-403.000000
2.800000,620.000000,-384.000000,665.000000,21.000000,-16.000000,-12.000000,387.000000,-567.000000,-400.000000
2.850000,648.000000,-382.000000,688.000000,12.000000,-10.000000,10.000000,381.000000,-568.000000,-408.000000
2.900000,661.000000,-398.000000,693.000000,56.000000,-35.000000,38.000000,387.000000,-559.000000,-402.000000
2.950000,661.000000,-408.000000,681.000000,66.000000,-58.000000,37.000000,384.000000,-558.000000,-411.000000
3.000000,629.000000,-429.000000,674.000000,58.000000,-74.000000,34.000000,400.000000,-565.000000,-408.000000
