Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,836.000000,-413.000000,646.000000,-652.000000,-774.000000,-390.000000,427.000000,-528.000000,-447.000000
0.050000,864.000000,-521.000000,606.000000,-252.000000,114.000000,-230.000000,426.000000,-532.000000,-435.000000
0.100000,928.000000,-423.000000,808.000000,84.000000,542.000000,-125.000000,418.000000,-532.000000,-450.000000
0.150000,637.000000,447.000000,1563.000000,356.000000,59.000000,-405.000000,408.000000,-534.000000,-465.000000
0.200000,166.000000,-256.000000,1998.000000,1061.000000,-2023.000000,183.000000,391.000000,-552.000000,-447.000000
0.250000,-462.000000,-1973.000000,30.000000,554.000000,-4356.000000,-823.000000,396.000000,-576.000000,-336.000000
0.300000,-1453.000000,-1798.000000,-1985.000000,933.000000,38.000000,415.000000,337.000000,-598.000000,-393.000000
0.350000,773.000000,-1633.000000,1998.000000,-8864.000000,2632.000000,-420.000000,348.000000,-604.000000,-345.000000
0.400000,-487.000000,1997.000000,-1935.000000,-6134.000000,-485.000000,-988.000000,271.000000,-627.000000,-292.000000
0.450000,-151.000000,-984.000000,-762.000000,6476.000000,-103.000000,-2111.000000,270.000000,-633.000000,-339.000000
0.500000,1866.000000,-172.000000,605.000000,-3115.000000,165.000000,-1600.000000,241.000000,-630.000000,-303.000000
0.550000,1443.000000,58.000000,674.000000,-1455.000000,-296.000000,15.000000,148.000000,-654.000000,-324.000000
0.600000,1633.000000,-308.000000,757.000000,959.000000,385.000000,1165.000000,169.000000,-645.000000,-334.000000
0.650000,846.000000,-851.000000,865.000000,-11.000000,417.000000,716.000000,243.000000,-639.000000,-348.000000
0.700000,444.000000,-364.000000,637.000000,-588.000000,65.000000,256.000000,259.000000,-636.000000,-348.000000
0.750000,639.000000,-709.000000,579.000000,162.000000,46.000000,184.000000,267.000000,-630.000000,-349.000000
0.800000,609.000000,-368.000000,494.000000,-295.000000,-121.000000,-72.000000,265.000000,-634.000000,-343.000000
0.850000,815.000000,-384.000000,524.000000,56.000000,-128.000000,-131.000000,255.000000,-619.000000,-349.000000
0.900000,903.000000,-461.000000,507.000000,-37.000000,-145.000000,-158.000000,253.000000,-628.000000,-346.000000
0.950000,773.000000,-325.000000,504.000000,-61.000000,-98.000000,-107.000000,253.000000,-633.000000,-328.000000
1.000000,716.000000,-420.000000,452.000000,-21.000000,-79.000000,-62.000000,250.000000,-639.000000,-334.000000
1.050000,671.000000,-333.000000,441.000000,-12.000000,-85.000000,-31.000000,244.000000,-640.000000,-334.000000
1.100000,750.000000,-360.000000,450.000000,32.000000,-60.000000,-49.000000,250.000000,-640.000000,-330.000000
1.150000,729.000000,-347.000000,478.000000,53.000000,-59.000000,-69.000000,240.000000,-631.000000,-330.000000
1.200000,777.000000,-341.000000,442.000000,49.000000,-87.000000,-98.000000,249.000000,-643.000000,-325.000000
1.250000,1089.000000,-401.000000,572.000000,-32.000000,-19.000000,-50.000000,238.000000,-648.000000,-325.000000
1.300000,855.000000,-307.000000,501.000000,45.000000,-54.000000,-9.000000,231.000000,-637.000000,-325.000000
1.350000,807.000000,-325.000000,447.000000,137.000000,-55.000000,-6.000000,237.000000,-643.000000,-322.000000
1.400000,859.000000,-410.000000,434.000000,-98.000000,-66.000000,-17.000000,232.000000,-639.000000,-327.000000
1.450000,800.000000,-255.000000,480.000000,-121.000000,-74.000000,-48.000000,231.000000,-640.000000,-318.000000
1.500000,806.000000,-339.000000,412.000000,113.000000,-39.000000,-45.000000,232.000000,-651.000000,-312.000000
1.550000,869.000000,-364.000000,371.000000,-91.000000,0.000000,-66.000000,226.000000,-642.000000,-315.000000
1.600000,833.000000,-223.000000,524.000000,-149.000000,44.000000,-37.000000,228.000000,-637.000000,-321.000000
1.650000,799.000000,-289.000000,463.000000,262.000000,105.000000,18.000000,229.000000,-637.000000,-322.000000
1.700000,831.000000,-363.000000,421.000000,188.000000,20.000000,14.000000,220.000000,-639.000000,-325.000000
1.750000,876.000000,-316.000000,562.000000,-86.000000,-18.000000,-1.000000,229.000000,-645.000000,-328.000000
1.800000,759.000000,-228.000000,532.000000,124.000000,-20.000000,21.000000,228.000000,-630.000000,-325.000000
1.850000,783.000000,-294.000000,470.000000,347.000000,51.000000,65.000000,238.000000,-636.000000,-342.000000
1.900000,794.000000,-239.000000,429.000000,299.000000,97.000000,70.000000,228.000000,-639.000000,-345.000000
1.950000,763.000000,-198.000000,336.000000,371.000000,211.000000,57.000000,235.000000,-631.000000,-351.000000
2.000000,564.000000,-139.000000,161.000000,450.000000,373.000000,42.000000,234.000000,-631.000000,-372.000000
2.050000,514.000000,-140.000000,-57.000000,803.000000,648.000000,143.000000,237.000000,-634.000000,-385.000000
2.100000,181.000000,-22.000000,-6.000000,735.000000,1569.000000,292.000000,237.000000,-631.000000,-453.000000
2.150000,-15.000000,-206.000000,428.000000,279.000000,1715.000000,391.000000,259.000000,-586.000000,-526.000000
2.200000,-361.000000,-241.000000,750.000000,-505.000000,1890.000000,637.000000,274.000000,-544.000000,-579.000000
2.250000,-618.000000,-234.000000,915.000000,-597.000000,2010.000000,780.000000,316.000000,-501.000000,-628.000000
2.300000,-847.000000,-475.000000,1116.000000,-434.000000,1992.000000,1584.000000,352.000000,-429.000000,-661.000000
2.350000,-719.000000,-572.000000,1216.000000,1.000000,2466.000000,872.000000,375.000000,-333.000000,-696.000000
2.400000,-782.000000,-553.000000,1415.000000,-637.000000,2020.000000,901.000000,387.000000,-234.000000,-712.000000
2.450000,-993.000000,-545.000000,1288.000000,-534.000000,1712.000000,1225.000000,412.000000,-148.000000,-690.000000
2.500000,-830.000000,-397.000000,1179.000000,35.000000,1643.000000,683.000000,406.000000,-70.000000,-666.000000
2.550000,-948.000000,-501.000000,1011.000000,-264.000000,1156.000000,712.000000,397.000000,-19.000000,-646.000000
2.600000,-931.000000,-446.000000,827.000000,70.000000,871.000000,683.000000,388.000000,15.000000,-616.000000
2.650000,-1001.000000,-388.000000,516.000000,-117.000000,588.000000,728.000000,375.000000,51.000000,-610.000000
2.700000,-1254.000000,-195.000000,286.000000,908.000000,665.000000,298.000000,354.000000,67.000000,-612.000000
2.750000,-921.000000,0.000000,585.000000,-124.000000,-77.000000,156.000000,343.000000,75.000000,-607.000000
2.800000,-899.000000,-172.000000,336.000000,-129.000000,-19.000000,65.000000,349.000000,84.000000,-607.000000
2.850000,-904.000000,-176.000000,286.000000,-315.000000,-32.000000,37.000000,355.000000,90.000000,-600.000000
2.900000,-965.000000,-105.000000,258.000000,-86.000000,-88.000000,44.000000,358.000000,82.000000,-589.000000
2.950000,-978.000000,-153.000000,351.000000,387.000000,-24.000000,-21.000000,345.000000,82.000000,-592.000000
3.000000,-1009.000000,-114.000000,305.000000,118.000000,-73.000000,9.000000,345.000000,82.000000,-606.000000
3.050000,-954.000000,-96.000000,337.000000,36.000000,-57.000000,19.000000,343.000000,79.000000,-612.000000
3.100000,-918.000000,-117.000000,330.000000,-92.000000,-46.000000,14.000000,346.000000,75.000000,-612.000000
3.150000,-936.000000,-119.000000,319.000000,46.000000,-16.000000,-3.000000,340.000000,88.000000,-603.000000
