Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,123.000000,542.000000,867.000000,-38.000000,-84.000000,-58.000000,-100.000000,-119.000000,478.000000
0.050000,121.000000,567.000000,867.000000,-44.000000,-134.000000,-51.000000,-95.000000,-116.000000,475.000000
0.100000,138.000000,572.000000,860.000000,-51.000000,-212.000000,-8.000000,-98.000000,-125.000000,476.000000
0.150000,204.000000,543.000000,832.000000,-53.000000,-275.000000,44.000000,-92.000000,-134.000000,472.000000
0.200000,182.000000,511.000000,768.000000,-101.000000,-151.000000,43.000000,-88.000000,-139.000000,482.000000
0.250000,227.000000,443.000000,788.000000,-49.000000,-39.000000,-65.000000,-88.000000,-140.000000,496.000000
0.300000,200.000000,444.000000,827.000000,-25.000000,49.000000,-104.000000,-85.000000,-137.000000,485.000000
0.350000,194.000000,511.000000,908.000000,16.000000,-156.000000,-14.000000,-95.000000,-142.000000,497.000000
0.400000,395.000000,665.000000,951.000000,162.000000,-921.000000,132.000000,-86.000000,-155.000000,499.000000
0.450000,838.000000,805.000000,908.000000,300.000000,-1689.000000,323.000000,-89.000000,-194.000000,530.000000
0.500000,1319.000000,901.000000,498.000000,696.000000,-2748.000000,945.000000,-71.000000,-259.000000,613.000000
0.550000,1711.000000,1099.000000,474.000000,1297.000000,-3548.000000,1091.000000,-49.000000,-304.000000,731.000000
0.600000,1906.000000,1328.000000,647.000000,1826.000000,-4179.000000,1585.000000,4.000000,-316.000000,869.000000
0.650000,1995.000000,1233.000000,532.000000,2202.000000,-4677.000000,2238.000000,97.000000,-251.000000,1037.000000
0.700000,1712.000000,790.000000,464.000000,2411.000000,-4515.000000,2482.000000,215.000000,-106.000000,1130.000000
0.750000,905.000000,593.000000,142.000000,2382.000000,-3557.000000,1522.000000,308.000000,57.000000,1138.000000
0.800000,24.000000,-31.000000,-189.000000,2013.000000,-1764.000000,968.000000,368.000000,171.000000,1066.000000
0.850000,-554.000000,-696.000000,-512.000000,1268.000000,-499.000000,821.000000,393.000000,216.000000,1015.000000
0.900000,-991.000000,-835.000000,-611.000000,826.000000,284.000000,423.000000,396.000000,231.000000,991.000000
0.950000,-691.000000,-1285.000000,-686.000000,286.000000,139.000000,171.000000,396.000000,239.000000,968.000000
1.000000,-547.000000,-1540.000000,-768.000000,19.000000,576.000000,171.000000,393.000000,234.000000,974.000000
1.050000,-525.000000,-1579.000000,-1276.000000,-151.000000,1138.000000,52.000000,399.000000,218.000000,976.000000
1.100000,-1142.000000,-1998.000000,-1767.000000,-353.000000,1554.000000,-1148.000000,395.000000,189.000000,1003.000000
1.150000,820.000000,-1997.000000,-1810.000000,-2802.000000,2617.000000,-2795.000000,374.000000,93.000000,1063.000000
1.200000,-1990.000000,-1718.000000,94.000000,-6463.000000,7713.000000,-6930.000000,184.000000,-188.000000,1054.000000
1.250000,-1998.000000,1997.000000,1568.000000,-375.000000,5510.000000,-9268.000000,-268.000000,-221.000000,700.000000
1.300000,-1368.000000,1997.000000,-840.000000,187.000000,-4890.000000,2244.000000,-260.000000,-203.000000,665.000000
1.350000,1639.000000,-1881.000000,-457.000000,-953.000000,770.000000,479.000000,-172.000000,-272.000000,685.000000
1.400000,-1074.000000,1296.000000,891.000000,-277.000000,1670.000000,-821.000000,-205.000000,-227.000000,620.000000
1.450000,-345.000000,643.000000,1026.000000,-490.000000,-591.000000,646.000000,-190.000000,-230.000000,611.000000
1.500000,1601.000000,994.000000,609.000000,-1612.000000,-1464.000000,93.000000,-146.000000,-248.000000,629.000000
1.550000,1734.000000,1362.000000,948.000000,-179.000000,-257.000000,-39.000000,-136.000000,-265.000000,644.000000
1.600000,507.000000,284.000000,1138.000000,204.000000,413.000000,214.000000,-140.000000,-262.000000,623.000000
1.650000,107.000000,717.000000,1056.000000,-52.000000,-63.000000,103.000000,-130.000000,-254.000000,619.000000
1.700000,167.000000,285.000000,937.000000,413.000000,250.000000,319.000000,-125.000000,-248.000000,620.000000
1.750000,213.000000,629.000000,776.000000,175.000000,-243.000000,170.000000,-127.000000,-260.000000,629.000000
1.800000,677.000000,583.000000,437.000000,-57.000000,-790.000000,143.000000,-113.000000,-272.000000,641.000000
1.850000,668.000000,509.000000,424.000000,-170.000000,-410.000000,58.000000,-116.000000,-278.000000,665.000000
1.900000,427.000000,447.000000,658.000000,93.000000,224.000000,-22.000000,-107.000000,-275.000000,661.000000
1.950000,395.000000,655.000000,655.000000,-35.000000,93.000000,-90.000000,-119.000000,-278.000000,656.000000
2.000000,549.000000,566.000000,609.000000,-93.000000,-126.000000,28.000000,-116.000000,-272.000000,664.000000
2.050000,544.000000,522.000000,607.000000,-40.000000,1.000000,60.000000,-112.000000,-271.000000,649.000000
2.100000,502.000000,508.000000,683.000000,49.000000,161.000000,15.000000,-107.000000,-268.000000,643.000000
2.150000,501.000000,529.000000,673.000000,-63.000000,-14.000000,27.000000,-113.000000,-268.000000,655.000000
2.200000,541.000000,477.000000,663.000000,60.000000,-36.000000,70.000000,-104.000000,-272.000000,644.000000
