Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,640.000000,-333.000000,675.000000,11.000000,-21.000000,-7.000000,289.000000,-606.000000,-432.000000
0.050000,631.000000,-310.000000,675.000000,-22.000000,-14.000000,-16.000000,294.000000,-607.000000,-432.000000
0.100000,643.000000,-321.000000,677.000000,-2.000000,11.000000,-13.000000,300.000000,-604.000000,-433.000000
0.150000,594.000000,-276.000000,658.000000,-36.000000,3.000000,-14.000000,294.000000,-604.000000,-432.000000
0.200000,545.000000,-279.000000,643.000000,26.000000,-7.000000,-14.000000,291.000000,-607.000000,-432.000000
0.250000,538.000000,-283.000000,603.000000,44.000000,-56.000000,-58.000000,285.000000,-613.000000,-432.000000
0.300000,597.000000,-333.000000,621.000000,33.000000,-48.000000,-81.000000,291.000000,-609.000000,-433.000000
0.350000,804.000000,-425.000000,801.000000,-23.000000,-25.000000,-121.000000,288.000000,-609.000000,-430.000000
0.400000,1258.000000,-550.000000,1036.000000,16.000000,90.000000,-95.000000,289.000000,-616.000000,-430.000000
0.450000,1387.000000,-574.000000,1258.000000,-212.000000,49.000000,-33.000000,282.000000,-613.000000,-435.000000
0.500000,1470.000000,-501.000000,1449.000000,-273.000000,249.000000,7.000000,280.000000,-615.000000,-435.000000
0.550000,1185.000000,-241.000000,1607.000000,53.000000,607.000000,253.000000,292.000000,-612.000000,-456.000000
0.600000,728.000000,-167.000000,1998.000000,644.000000,-86.000000,64.000000,297.000000,-601.000000,-469.000000
0.650000,181.000000,-321.000000,1998.000000,1353.000000,-1079.000000,138.000000,279.000000,-613.000000,-463.000000
0.700000,-1807.000000,-1125.000000,-1404.000000,1267.000000,-3108.000000,396.000000,282.000000,-624.000000,-370.000000
0.750000,-1987.000000,-907.000000,-1997.000000,-457.000000,-224.000000,520.000000,219.000000,-634.000000,-409.000000
0.800000,-356.000000,-1998.000000,1980.000000,-7350.000000,379.000000,2366.000000,265.000000,-630.000000,-331.000000
0.850000,-1346.000000,1607.000000,-1628.000000,-1278.000000,-1103.000000,-971.000000,195.000000,-633.000000,-304.000000
0.900000,862.000000,-871.000000,-328.000000,6918.000000,-2211.000000,1612.000000,255.000000,-631.000000,-292.000000
0.950000,1167.000000,-669.000000,1728.000000,-2519.000000,3040.000000,-1020.000000,339.000000,-591.000000,-283.000000
1.000000,1618.000000,-117.000000,270.000000,404.000000,-911.000000,-2278.000000,244.000000,-625.000000,-285.000000
1.050000,1431.000000,-832.000000,1098.000000,-259.000000,1146.000000,35.000000,204.000000,-648.000000,-319.000000
1.100000,415.000000,71.000000,380.000000,-12.000000,-7.000000,111.000000,204.000000,-640.000000,-310.000000
1.150000,578.000000,-384.000000,315.000000,316.000000,-21.000000,133.000000,208.000000,-642.000000,-325.000000
1.200000,1075.000000,-125.000000,548.000000,-706.000000,-128.000000,-94.000000,222.000000,-651.000000,-315.000000
1.250000,879.000000,-180.000000,588.000000,45.000000,-40.000000,120.000000,213.000000,-639.000000,-321.000000
1.300000,742.000000,-261.000000,388.000000,270.000000,-15.000000,120.000000,223.000000,-636.000000,-316.000000
1.350000,914.000000,-315.000000,392.000000,-125.000000,-42.000000,11.000000,229.000000,-639.000000,-306.000000
1.400000,861.000000,-274.000000,470.000000,-214.000000,-61.000000,13.000000,223.000000,-630.000000,-310.000000
1.450000,845.000000,-252.000000,467.000000,14.000000,5.000000,32.000000,222.000000,-639.000000,-313.000000
1.500000,835.000000,-319.000000,437.000000,-38.000000,29.000000,41.000000,223.000000,-639.000000,-312.000000
1.550000,847.000000,-275.000000,484.000000,-154.000000,23.000000,24.000000,228.000000,-637.000000,-307.000000
1.600000,863.000000,-293.000000,497.000000,-62.000000,21.000000,11.000000,226.000000,-627.000000,-309.000000
1.650000,813.000000,-264.000000,479.000000,-36.000000,11.000000,-13.000000,225.000000,-639.000000,-315.000000
1.700000,850.000000,-256.000000,511.000000,4.000000,6.000000,-24.000000,229.000000,-637.000000,-319.000000
1.750000,846.000000,-291.000000,477.000000,96.000000,28.000000,14.000000,219.000000,-633.000000,-313.000000
1.800000,809.000000,-201.000000,456.000000,-55.000000,-38.000000,-9.000000,229.000000,-634.000000,-313.000000
1.850000,905.000000,-279.000000,613.000000,162.000000,61.000000,37.000000,228.000000,-636.000000,-322.000000
1.900000,763.000000,-248.000000,404.000000,4.000000,-32.000000,34.000000,228.000000,-637.000000,-319.000000
