Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,-172.000000,-732.000000,-606.000000,31.000000,17.000000,4.000000,404.000000,281.000000,902.000000
0.050000,-119.000000,-716.000000,-561.000000,30.000000,27.000000,23.000000,405.000000,278.000000,914.000000
0.100000,-122.000000,-610.000000,-504.000000,30.000000,147.000000,28.000000,402.000000,267.000000,910.000000
0.150000,-52.000000,-466.000000,-464.000000,24.000000,63.000000,111.000000,404.000000,281.000000,910.000000
0.200000,-60.000000,-498.000000,-411.000000,37.000000,120.000000,145.000000,404.000000,281.000000,916.000000
0.250000,-185.000000,-719.000000,-597.000000,-23.000000,140.000000,245.000000,398.000000,294.000000,919.000000
0.300000,-320.000000,-1331.000000,-876.000000,-84.000000,275.000000,-110.000000,389.000000,293.000000,923.000000
0.350000,-404.000000,-1614.000000,-1250.000000,175.000000,364.000000,-574.000000,405.000000,270.000000,929.000000
0.400000,-635.000000,-1993.000000,-1420.000000,134.000000,783.000000,-102.000000,410.000000,251.000000,928.000000
0.450000,-627.000000,-1998.000000,-1785.000000,-375.000000,699.000000,-45.000000,408.000000,251.000000,932.000000
0.500000,-1711.000000,-1998.000000,-1997.000000,-1270.000000,971.000000,-543.000000,401.000000,228.000000,968.000000
0.550000,447.000000,-1998.000000,-1203.000000,-4661.000000,5458.000000,-2736.000000,363.000000,140.000000,1073.000000
0.600000,-1998.000000,-1998.000000,-94.000000,-2156.000000,11384.000000,-10180.000000,164.000000,-190.000000,1052.000000
0.650000,-1998.000000,45.000000,1719.000000,-7638.000000,6239.000000,-3476.000000,-178.000000,-218.000000,584.000000
0.700000,1362.000000,740.000000,-1961.000000,-4864.000000,-3420.000000,-471.000000,-89.000000,-190.000000,530.000000
0.750000,-633.000000,-888.000000,874.000000,406.000000,2194.000000,-720.000000,-53.000000,-188.000000,520.000000
0.800000,-1079.000000,1116.000000,1132.000000,-1075.000000,-1012.000000,-781.000000,-65.000000,-179.000000,512.000000
0.850000,1184.000000,552.000000,953.000000,-222.000000,-1139.000000,427.000000,-47.000000,-208.000000,541.000000
0.900000,889.000000,640.000000,1388.000000,-140.000000,-522.000000,8.000000,-22.000000,-229.000000,562.000000
0.950000,635.000000,853.000000,1076.000000,-942.000000,-686.000000,63.000000,-16.000000,-226.000000,571.000000
1.000000,-267.000000,466.000000,997.000000,221.000000,-351.000000,744.000000,10.000000,-248.000000,578.000000
1.050000,82.000000,-118.000000,846.000000,-679.000000,-634.000000,438.000000,38.000000,-257.000000,598.000000
